Probeset ID	Gene Symbol	1_1	1_2	2_1	2_2	3_1	3_2	Mean(Cntl)	Mean(siETV4)	Ratio(siETV4 vs. Cntl)	Fold-Change(siETV4 vs. Cntl)	log2FoldChange	p-value	q-value
PSR19025918.hg.1	A1BG	8.66755	8.57167	8.67935	8.73928	8.8101	8.67708	8.719	8.66267	0.961711	-1.03981	-0.056323333	0.5347865	0.725553
PSR19025921.hg.1	A1BG	7.41787	7.17961	7.40133	7.6528	7.28002	7.49215	7.36641	7.44152	1.05344	1.05344	0.075113333	0.5820691	0.7383465
PSR19025922.hg.1	A1BG	7.50871	7.57826	7.30645	7.61757	7.62477	7.35605	7.47998	7.51729	1.02621	1.02621	0.037316667	0.7582407	0.779675
PSR19025925.hg.1	A1BG	7.63027	7.58905	7.47073	7.30594	7.72141	7.62109	7.60747	7.50536	0.93167	-1.07334	-0.10211	0.4111732	0.6843703
PSR19025926.hg.1	A1BG	5.81209	5.89395	5.54714	5.50756	5.68944	5.82583	5.68289	5.74245	1.04215	1.04215	0.059556667	0.6550312	0.7570314
PSR19025927.hg.1	A1BG	6.36444	6.68116	6.4564	6.72256	6.32783	6.10419	6.38289	6.50264	1.08654	1.08654	0.119746667	0.5002532	0.7148393
PSR19025928.hg.1	A1BG	6.81897	6.76408	6.71385	6.55553	6.81366	6.75598	6.78216	6.69186	0.939329	-1.06459	-0.090296667	0.3521274	0.6606918
PSR19025929.hg.1	A1BG	8.45677	8.48843	8.44105	8.35951	8.52791	8.5048	8.47524	8.45091	0.983278	-1.01701	-0.02433	0.7716908	0.7822665
PSR19025930.hg.1	A1BG	6.86999	7.02037	6.87301	6.80701	6.86267	6.85536	6.86856	6.89425	1.01797	1.01797	0.02569	0.7720515	0.7823363
PSR19013233.hg.1	A1BG-AS1	7.08364	6.81108	6.98058	6.70364	6.85819	6.65799	6.97414	6.72424	0.840952	-1.18913	-0.2499	0.02997736	0.3577892
PSR19013235.hg.1	A1BG-AS1	6.55169	6.35594	6.37204	6.43176	6.53112	6.39524	6.48495	6.39432	0.939112	-1.06484	-0.090636667	0.3146458	0.6438243
PSR19013236.hg.1	A1BG-AS1	6.42098	5.92741	6.46143	6.36713	6.25817	6.65999	6.38019	6.31818	0.957924	-1.04392	-0.062016667	0.742372	0.7767089
PSR19013238.hg.1	A1BG-AS1	6.55256	6.26905	6.05462	6.37006	6.3857	6.27689	6.33096	6.30533	0.982393	-1.01792	-0.025626667	0.8526376	0.7982435
PSR10016187.hg.1	A1CF	4.39551	4.4128	4.48891	3.8779	4.40729	4.20923	4.43057	4.16665	0.832818	-1.20074	-0.263926667	0.09847779	0.4901903
PSR10016189.hg.1	A1CF	2.22709	1.74741	2.17525	2.77462	2.22434	2.06779	2.2089	2.19661	0.99152	-1.00855	-0.012286667	0.9605482	0.8161234
PSR10016192.hg.1	A1CF	4.05694	4.15024	4.51479	4.696	4.45213	4.06405	4.34129	4.30343	0.9741	-1.02659	-0.037856667	0.8531562	0.7983456
PSR10016193.hg.1	A1CF	5.14533	4.79428	4.97694	4.20572	5.0364	4.38298	5.05289	4.46099	0.663469	-1.50723	-0.591896667	0.006204818	0.2137842
PSR10016195.hg.1	A1CF	5.67608	5.81998	5.52724	5.43367	5.85521	5.33501	5.68618	5.52955	0.897123	-1.11467	-0.156623333	0.3307682	0.6511383
PSR10016196.hg.1	A1CF	4.82375	4.63189	4.71561	4.58095	4.98903	4.59215	4.8428	4.60166	0.84608	-1.18192	-0.241133333	0.03554679	0.3757722
PSR10016198.hg.1	A1CF	5.08012	4.88168	5.27115	5.1436	5.17936	5.02278	5.17688	5.01602	0.894492	-1.11795	-0.160856667	0.1496612	0.5422661
PSR10016199.hg.1	A1CF	2.82705	2.57131	2.72896	2.96776	2.67514	2.67395	2.74372	2.73767	0.99582	-1.0042	-0.006043333	0.9607665	0.8161982
PSR10016201.hg.1	A1CF	2.59519	2.69456	2.46142	2.82832	2.33583	2.83893	2.46415	2.78727	1.25103	1.25103	0.323123333	0.01222547	0.2695072
PSR10016202.hg.1	A1CF	4.62433	4.69624	4.37146	4.49959	4.54178	4.53593	4.51252	4.57725	1.04589	1.04589	0.06473	0.5405714	0.7271126
PSR10016204.hg.1	A1CF	2.44025	2.61669	2.46506	2.68597	2.72541	2.58653	2.54357	2.62973	1.06154	1.06154	0.086156667	0.4201384	0.6875295
PSR10016205.hg.1	A1CF	5.00948	5.29082	5.3475	5.61216	5.25552	5.62612	5.20417	5.5097	1.23587	1.23587	0.305533333	0.05417161	0.4217912
PSR10016208.hg.1	A1CF	1.96957	2.6095	1.80976	2.296	2.33328	1.99016	2.03754	2.29855	1.19832	1.19832	0.261016667	0.2153517	0.5903433
PSR10016209.hg.1	A1CF	6.51947	6.47089	6.25771	6.22807	6.47958	6.6721	6.41892	6.45702	1.02676	1.02676	0.0381	0.7849035	0.7849761
PSR10016210.hg.1	A1CF	6.39725	6.21335	6.13608	6.0666	6.53058	6.67358	6.35464	6.31784	0.974819	-1.02583	-0.036793333	0.841809	0.7962851
PSR10016211.hg.1	A1CF	3.78397	3.67779	3.76162	2.49725	3.03204	3.60018	3.52588	3.2584	0.830774	-1.2037	-0.26747	0.4693303	0.7048965
PSR13009396.hg.1	A2LD1	6.47911	6.49338	6.12495	6.21054	6.64815	6.68693	6.4174	6.46362	1.03255	1.03255	0.046213333	0.7949732	0.7870201
PSR13009398.hg.1	A2LD1	5.63915	5.44934	5.41793	5.27121	5.75414	5.75051	5.60374	5.49035	0.924414	-1.08177	-0.113386667	0.4652889	0.7034123
PSR13009399.hg.1	A2LD1	6.93252	6.50657	6.8458	6.77258	6.50338	6.69302	6.76057	6.65739	0.930981	-1.07414	-0.103176667	0.4693342	0.7048965
PSR13009401.hg.1	A2LD1	7.92664	7.82731	7.83992	8.09737	7.82589	7.98036	7.86415	7.96835	1.07489	1.07489	0.104196667	0.306869	0.6400291
